client_id,client_type,gender,age,age_group,country,region,acquisition_purpose,loan_applied,satisfaction_score,referral_channel,kmeans_cluster,cluster_label
C0087,Individual,F,47.1,40-50,Usa,California,Home,No,4,Agency,2,Corporate Buyers
C0088,Individual,M,89.8,70+,Usa,Oregon,Investment,No,2,Website,2,Corporate Buyers
C0089,Individual,M,76.6,70+,Usa,California,Home,No,3,Agency,2,Corporate Buyers
C0090,Individual,M,44.1,40-50,Usa,California,Home,No,5,Client,2,Corporate Buyers
C0091,Individual,F,66.6,60-70,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0092,Individual,M,55.1,50-60,Usa,Kansas,Home,No,3,Website,2,Corporate Buyers
C0093,Individual,M,63.8,60-70,Usa,California,Home,No,2,Agency,2,Corporate Buyers
C0094,Individual,F,78.2,70+,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0095,Individual,M,62.3,60-70,Usa,California,Home,Yes,3,Agency,1,First-Time / Loan Buyers
C0096,Individual,M,40.5,40-50,Usa,California,Investment,Yes,3,Website,1,First-Time / Loan Buyers
C0097,Individual,M,83.0,70+,Usa,Virginia,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0098,Individual,F,77.0,70+,Russia,Saint Petersburg,Home,Yes,3,Agency,1,First-Time / Loan Buyers
C0099,Individual,M,84.5,70+,Usa,California,Investment,No,4,Website,2,Corporate Buyers
C0100,Individual,M,57.0,50-60,Usa,California,Home,No,3,Website,2,Corporate Buyers
C0101,Individual,F,75.3,70+,Usa,Nevada,Home,No,3,Website,2,Corporate Buyers
C0102,Individual,M,79.3,70+,Usa,California,Investment,Yes,5,Website,1,First-Time / Loan Buyers
C0103,Individual,M,52.5,50-60,Usa,Colorado,Home,No,3,Website,2,Corporate Buyers
C0104,Individual,M,47.8,40-50,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0105,Individual,F,66.6,60-70,Usa,California,Investment,Yes,2,Website,1,First-Time / Loan Buyers
C0106,Individual,M,73.0,70+,Usa,Colorado,Home,No,4,Website,2,Corporate Buyers
C0107,Individual,M,66.9,60-70,Usa,California,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0108,Individual,M,67.5,60-70,Usa,California,Home,No,4,Agency,2,Corporate Buyers
C0109,Individual,F,93.1,70+,Usa,California,Investment,Yes,5,Agency,1,First-Time / Loan Buyers
C0110,Individual,F,67.0,60-70,Usa,California,Investment,Yes,5,Agency,1,First-Time / Loan Buyers
C0111,Individual,M,47.0,40-50,Usa,Arizona,Home,Yes,2,Website,1,First-Time / Loan Buyers
C0112,Individual,F,65.7,60-70,Usa,California,Investment,Yes,1,Agency,1,First-Time / Loan Buyers
C0113,Individual,M,76.9,70+,Usa,Utah,Investment,No,4,Agency,2,Corporate Buyers
C0114,Individual,F,64.4,60-70,Usa,California,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0115,Individual,F,47.5,40-50,Usa,California,Home,No,5,Agency,2,Corporate Buyers
C0116,Individual,F,70.9,70+,Usa,California,Investment,No,4,Website,2,Corporate Buyers
C0117,Individual,M,61.7,60-70,Uk,Scotland,Investment,No,4,Agency,2,Corporate Buyers
C0118,Individual,F,77.6,70+,Usa,Oregon,Investment,No,5,Agency,2,Corporate Buyers
C0119,Individual,F,83.9,70+,Usa,California,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0120,Individual,F,72.9,70+,Usa,California,Home,Yes,4,Website,1,First-Time / Loan Buyers
C0121,Individual,M,75.9,70+,Usa,Nevada,Home,No,2,Website,2,Corporate Buyers
C0122,Individual,F,52.8,50-60,Usa,California,Home,Yes,1,Agency,1,First-Time / Loan Buyers
C0123,Individual,F,63.8,60-70,Usa,California,Home,Yes,4,Website,1,First-Time / Loan Buyers
C0124,Individual,F,62.9,60-70,Usa,California,Home,No,4,Agency,2,Corporate Buyers
C0125,Individual,M,49.5,40-50,Usa,Colorado,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0126,Individual,F,53.9,50-60,Usa,California,Investment,No,2,Agency,2,Corporate Buyers
C0127,Individual,M,51.9,50-60,Usa,Nevada,Home,Yes,2,Website,1,First-Time / Loan Buyers
C0128,Company,M,63.1,60-70,Usa,Nevada,Investment,Yes,5,Website,3,Luxury / High-Satisfaction
C0129,Individual,M,52.9,50-60,Usa,Arizona,Investment,No,5,Website,2,Corporate Buyers
C0130,Individual,M,67.2,60-70,Usa,Nevada,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0131,Individual,M,54.5,50-60,Usa,California,Home,No,1,Website,2,Corporate Buyers
C0132,Individual,M,60.9,60-70,Usa,Nevada,Home,Yes,1,Agency,1,First-Time / Loan Buyers
C0133,Individual,M,79.8,70+,Usa,California,Investment,No,4,Agency,2,Corporate Buyers
C0134,Individual,F,94.0,70+,Russia,Novosibirsk,Investment,No,3,Website,2,Corporate Buyers
C0135,Individual,M,87.3,70+,Usa,Utah,Investment,No,2,Agency,2,Corporate Buyers
C0136,Individual,M,52.8,50-60,Usa,California,Home,No,3,Website,2,Corporate Buyers
C0137,Individual,F,68.6,60-70,Usa,California,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0138,Individual,F,87.0,70+,Usa,Oregon,Investment,Yes,3,Website,1,First-Time / Loan Buyers
C0139,Individual,F,56.7,50-60,Usa,California,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0140,Individual,F,74.0,70+,Usa,California,Home,No,3,Website,2,Corporate Buyers
C0141,Individual,F,40.0,30-40,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0142,Individual,F,48.0,40-50,Usa,Nevada,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0143,Individual,M,68.3,60-70,Usa,California,Home,No,1,Website,2,Corporate Buyers
C0144,Individual,M,71.7,70+,Usa,California,Home,No,4,Agency,2,Corporate Buyers
C0145,Individual,F,61.5,60-70,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0146,Individual,M,63.4,60-70,Usa,Colorado,Home,No,2,Website,2,Corporate Buyers
C0147,Individual,M,78.3,70+,Usa,Utah,Home,No,4,Client,2,Corporate Buyers
C0148,Individual,M,57.2,50-60,Usa,Colorado,Investment,Yes,4,Agency,1,First-Time / Loan Buyers
C0149,Individual,M,70.5,70+,Russia,Krasnodar Krai,Investment,No,3,Agency,2,Corporate Buyers
C0150,Individual,M,57.8,50-60,Usa,California,Home,Yes,2,Website,1,First-Time / Loan Buyers
C0151,Individual,F,49.8,40-50,Usa,Oregon,Home,No,1,Agency,2,Corporate Buyers
C0152,Individual,F,59.4,50-60,Usa,California,Investment,Yes,2,Agency,1,First-Time / Loan Buyers
C0153,Individual,F,43.3,40-50,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0154,Individual,F,61.4,60-70,Usa,California,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0155,Company,M,50.8,50-60,Usa,California,Investment,No,5,Agency,3,Luxury / High-Satisfaction
C0156,Individual,F,60.1,60-70,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0157,Individual,M,74.1,70+,Usa,Colorado,Home,Yes,2,Client,1,First-Time / Loan Buyers
C0158,Individual,F,46.5,40-50,Usa,Virginia,Investment,Yes,3,Agency,1,First-Time / Loan Buyers
C0159,Individual,M,84.2,70+,Usa,California,Home,No,3,Website,2,Corporate Buyers
C0160,Individual,F,67.0,60-70,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0161,Individual,M,74.6,70+,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0162,Individual,M,72.8,70+,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0163,Individual,M,40.2,40-50,Usa,Utah,Investment,Yes,5,Agency,1,First-Time / Loan Buyers
C0164,Individual,M,39.7,30-40,Usa,Arizona,Home,No,5,Website,2,Corporate Buyers
C0165,Individual,F,69.9,60-70,Usa,California,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0166,Individual,F,42.4,40-50,Usa,Arizona,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0167,Individual,F,71.4,70+,Uk,Scotland,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0168,Individual,F,66.0,60-70,Usa,Nevada,Home,No,3,Agency,2,Corporate Buyers
C0169,Individual,M,35.8,30-40,Usa,Ohio,Investment,Yes,5,Agency,1,First-Time / Loan Buyers
C0170,Individual,M,77.0,70+,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0171,Individual,F,35.1,30-40,Usa,Washington,Investment,Yes,5,Client,1,First-Time / Loan Buyers
C0172,Individual,F,33.8,30-40,Usa,Washington,Home,Yes,1,Agency,1,First-Time / Loan Buyers
C0173,Individual,F,49.9,40-50,Usa,Arizona,Home,Yes,5,Agency,1,First-Time / Loan Buyers
C0174,Individual,F,44.0,40-50,Usa,California,Investment,No,3,Client,2,Corporate Buyers
C0175,Individual,M,64.2,60-70,Usa,Washington,Home,No,5,Agency,2,Corporate Buyers
C0176,Individual,F,33.0,30-40,Usa,California,Home,No,2,Website,2,Corporate Buyers
C0177,Individual,F,75.3,70+,Uk,England,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0178,Individual,F,73.5,70+,Usa,Virginia,Home,No,4,Agency,2,Corporate Buyers
C0179,Individual,F,40.4,40-50,Usa,Oregon,Investment,No,2,Website,2,Corporate Buyers
C0180,Individual,M,83.4,70+,Usa,California,Home,Yes,2,Agency,1,First-Time / Loan Buyers
C0181,Individual,M,56.1,50-60,Usa,Texas,Home,Yes,2,Website,1,First-Time / Loan Buyers
C0182,Individual,F,54.5,50-60,Germany,North Rhine-Westphalia,Investment,Yes,1,Website,1,First-Time / Loan Buyers
C0183,Individual,M,37.8,30-40,Usa,Nevada,Home,No,3,Website,2,Corporate Buyers
C0184,Individual,M,32.4,30-40,Usa,Florida,Home,No,1,Website,2,Corporate Buyers
C0185,Individual,F,81.0,70+,Usa,Nevada,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0186,Individual,F,44.2,40-50,Usa,Virginia,Home,No,1,Website,2,Corporate Buyers
C0187,Individual,F,36.4,30-40,Usa,Florida,Home,No,1,Website,2,Corporate Buyers
C0188,Individual,M,85.7,70+,Usa,Oregon,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0189,Individual,F,67.5,60-70,Usa,California,Home,No,2,Agency,2,Corporate Buyers
C0190,Individual,F,54.7,50-60,Usa,California,Home,No,2,Website,2,Corporate Buyers
C0191,Individual,F,49.1,40-50,Usa,Florida,Home,No,3,Agency,2,Corporate Buyers
C0192,Individual,F,42.4,40-50,Belgium,Brussels,Investment,Yes,2,Website,0,Global Investors
C0193,Individual,F,57.9,50-60,Usa,California,Investment,Yes,4,Website,1,First-Time / Loan Buyers
C0194,Individual,M,72.8,70+,France,Ile-De-France,Home,Yes,5,Website,0,Global Investors
C0195,Individual,M,79.0,70+,Usa,California,Home,Yes,2,Website,1,First-Time / Loan Buyers
C0196,Individual,M,69.2,60-70,Usa,Nevada,Investment,No,5,Agency,2,Corporate Buyers
C0197,Individual,M,82.0,70+,Usa,Virginia,Home,No,4,Client,2,Corporate Buyers
C0198,Individual,F,50.4,50-60,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0199,Individual,M,68.2,60-70,Usa,California,Home,No,3,Agency,2,Corporate Buyers
C0200,Individual,F,82.1,70+,Usa,California,Home,No,1,Agency,2,Corporate Buyers
C0201,Individual,F,58.3,50-60,Usa,California,Home,No,1,Agency,2,Corporate Buyers
C0202,Individual,M,29.6,<30,Canada,British Columbia,Home,No,1,Website,0,Global Investors
C0203,Individual,F,70.1,70+,Usa,California,Home,No,4,Client,2,Corporate Buyers
C0204,Individual,F,79.4,70+,Usa,California,Home,No,5,Agency,2,Corporate Buyers
C0205,Individual,F,57.8,50-60,Mexico,Puebla,Home,Yes,1,Agency,1,First-Time / Loan Buyers
C0206,Individual,F,69.1,60-70,Usa,California,Home,Yes,1,Agency,1,First-Time / Loan Buyers
C0207,Individual,M,81.6,70+,Usa,Virginia,Investment,No,4,Website,2,Corporate Buyers
C0208,Individual,M,40.2,40-50,France,Provence,Home,Yes,4,Agency,0,Global Investors
C0209,Individual,M,76.8,70+,Usa,Arizona,Investment,No,3,Agency,2,Corporate Buyers
C0210,Individual,F,83.2,70+,Usa,Colorado,Home,No,2,Website,2,Corporate Buyers
C0211,Individual,F,54.3,50-60,Usa,California,Home,No,3,Agency,2,Corporate Buyers
C0212,Individual,M,70.2,70+,Usa,California,Home,No,4,Agency,2,Corporate Buyers
C0213,Individual,M,49.7,40-50,Usa,Florida,Investment,No,5,Agency,2,Corporate Buyers
C0214,Individual,F,79.9,70+,Belgium,Brussels,Investment,No,5,Website,0,Global Investors
C0215,Individual,F,26.9,<30,Germany,Hamburg,Investment,No,4,Website,0,Global Investors
C0216,Individual,M,26.9,<30,Usa,Utah,Home,No,1,Website,2,Corporate Buyers
C0217,Individual,F,41.9,40-50,Usa,Colorado,Home,No,3,Website,2,Corporate Buyers
C0218,Individual,F,56.4,50-60,Usa,California,Home,No,2,Website,2,Corporate Buyers
C0219,Individual,M,38.4,30-40,Usa,California,Home,No,4,Website,2,Corporate Buyers
C0220,Individual,M,75.0,70+,Canada,Ontario,Investment,No,1,Website,0,Global Investors
C0221,Company,F,39.1,30-40,Usa,California,Home,No,5,Website,3,Luxury / High-Satisfaction
C0222,Individual,M,69.6,60-70,Usa,Utah,Investment,No,3,Agency,2,Corporate Buyers
C0223,Individual,M,52.6,50-60,Usa,Colorado,Investment,Yes,3,Website,1,First-Time / Loan Buyers
C0224,Individual,M,65.8,60-70,Usa,Colorado,Home,No,5,Website,2,Corporate Buyers
C0225,Individual,F,77.5,70+,Usa,California,Home,Yes,1,Agency,1,First-Time / Loan Buyers
C0226,Individual,F,67.9,60-70,Usa,Colorado,Home,No,2,Website,2,Corporate Buyers
C0227,Individual,F,81.7,70+,Usa,Arizona,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0228,Individual,F,74.2,70+,Usa,Oregon,Investment,No,4,Website,2,Corporate Buyers
C0229,Individual,M,44.6,40-50,Usa,Colorado,Investment,No,5,Website,2,Corporate Buyers
C0230,Company,M,48.9,40-50,Usa,Nevada,Investment,Yes,4,Website,3,Luxury / High-Satisfaction
C0231,Individual,M,32.5,30-40,Denmark,Central Denmark,Investment,Yes,2,Website,0,Global Investors
C0232,Individual,F,64.1,60-70,Usa,California,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0233,Individual,M,28.8,<30,France,Provence,Home,Yes,4,Website,0,Global Investors
C0234,Individual,F,47.3,40-50,Usa,New York,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0235,Individual,M,76.7,70+,Usa,California,Home,No,5,Website,2,Corporate Buyers
C0236,Individual,M,53.9,50-60,Canada,Manitoba,Home,No,3,Agency,0,Global Investors
C0237,Individual,M,41.6,40-50,Usa,California,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0238,Individual,F,44.4,40-50,Usa,Virginia,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0239,Individual,F,53.3,50-60,Usa,Oregon,Home,Yes,3,Website,1,First-Time / Loan Buyers
C0240,Individual,F,84.1,70+,Usa,Colorado,Investment,No,3,Website,2,Corporate Buyers
C0241,Individual,F,64.4,60-70,Mexico,Nuevo Leon,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0242,Individual,M,28.3,<30,Usa,Utah,Home,Yes,3,Agency,1,First-Time / Loan Buyers
C0243,Individual,F,47.9,40-50,Usa,Utah,Home,No,2,Website,2,Corporate Buyers
C0244,Individual,F,27.9,<30,Usa,California,Home,No,1,Website,2,Corporate Buyers
C0245,Individual,M,52.4,50-60,Usa,Nevada,Investment,No,4,Agency,2,Corporate Buyers
C0246,Individual,M,34.1,30-40,France,Normandy,Home,Yes,1,Agency,0,Global Investors
C0247,Individual,M,61.4,60-70,Usa,California,Home,No,1,Website,2,Corporate Buyers
C0248,Individual,M,57.5,50-60,Usa,Florida,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0249,Individual,F,57.5,50-60,Usa,California,Investment,No,4,Agency,2,Corporate Buyers
C0250,Individual,M,78.7,70+,Uk,England,Home,No,2,Agency,2,Corporate Buyers
C0251,Individual,F,49.9,40-50,Usa,Utah,Home,No,5,Website,2,Corporate Buyers
C0252,Individual,F,72.8,70+,Usa,Nevada,Investment,No,2,Website,2,Corporate Buyers
C0253,Individual,F,31.8,30-40,Usa,Virginia,Home,No,4,Website,2,Corporate Buyers
C0254,Individual,F,69.9,60-70,Usa,Florida,Home,No,5,Website,2,Corporate Buyers
C0255,Individual,F,65.4,60-70,Uk,England,Investment,Yes,3,Client,1,First-Time / Loan Buyers
C0256,Individual,M,35.5,30-40,Usa,California,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0257,Individual,M,51.7,50-60,Usa,California,Home,No,1,Website,2,Corporate Buyers
C0258,Individual,M,35.2,30-40,Uk,Northern Ireland,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0259,Individual,F,36.3,30-40,Usa,Oregon,Home,No,4,Website,2,Corporate Buyers
C0260,Individual,F,79.9,70+,Usa,Nevada,Investment,No,3,Website,2,Corporate Buyers
C0261,Company,F,41.1,40-50,Usa,Florida,Investment,Yes,4,Website,3,Luxury / High-Satisfaction
C0262,Individual,M,79.1,70+,Usa,Oregon,Home,No,2,Website,2,Corporate Buyers
C0263,Individual,M,44.9,40-50,Usa,Nevada,Investment,Yes,2,Website,1,First-Time / Loan Buyers
C0264,Individual,F,33.8,30-40,Usa,Colorado,Home,Yes,2,Agency,1,First-Time / Loan Buyers
C0265,Company,M,59.2,50-60,Belgium,Flanders,Home,No,1,Website,3,Luxury / High-Satisfaction
C0266,Individual,M,49.3,40-50,Usa,California,Home,Yes,5,Agency,1,First-Time / Loan Buyers
C0267,Individual,F,77.6,70+,Usa,Utah,Home,Yes,4,Agency,1,First-Time / Loan Buyers
C0268,Individual,F,67.3,60-70,Usa,Georgia,Investment,No,3,Website,2,Corporate Buyers
C0269,Individual,M,57.4,50-60,Usa,New York,Home,No,2,Agency,2,Corporate Buyers
C0270,Individual,F,81.9,70+,Usa,Florida,Home,No,5,Website,2,Corporate Buyers
C0271,Individual,F,54.1,50-60,Usa,California,Investment,No,3,Agency,2,Corporate Buyers
C0272,Individual,F,32.9,30-40,Uk,Scotland,Home,Yes,5,Website,1,First-Time / Loan Buyers
C0273,Individual,M,39.3,30-40,Denmark,Zealand,Investment,No,2,Website,0,Global Investors
C0274,Individual,M,75.7,70+,Usa,Florida,Home,No,2,Website,2,Corporate Buyers
C0275,Individual,M,26.0,<30,Usa,Oregon,Home,Yes,1,Website,1,First-Time / Loan Buyers
C0276,Individual,F,73.3,70+,Usa,Washington,Home,No,5,Website,2,Corporate Buyers
C0277,Individual,M,71.6,70+,Usa,Colorado,Investment,Yes,1,Agency,1,First-Time / Loan Buyers
C0278,Individual,F,70.9,70+,Usa,California,Investment,Yes,2,Website,1,First-Time / Loan Buyers
C0279,Individual,F,59.1,50-60,Usa,Oregon,Home,No,1,Website,2,Corporate Buyers
C0280,Individual,M,82.2,70+,Usa,Florida,Home,No,4,Client,2,Corporate Buyers
C0281,Individual,F,49.2,40-50,Usa,California,Home,Yes,1,Agency,1,First-Time / Loan Buyers
C0282,Individual,F,28.7,<30,Usa,California,Investment,No,1,Website,2,Corporate Buyers
